tarih,para_birimi,alis,satis,olusturma_tarihi
2017-01-01,EUR,3.693900,3.700600,2017-01-01 16:00:00+00
2017-01-01,USD,3.531800,3.538200,2017-01-01 16:00:00+00
2017-01-02,EUR,3.709900,3.716600,2017-01-02 16:00:00+00
2017-01-02,USD,3.519200,3.525500,2017-01-02 16:00:00+00
2017-01-03,EUR,3.708600,3.715300,2017-01-03 16:00:00+00
2017-01-03,USD,3.533800,3.540200,2017-01-03 16:00:00+00
2017-01-04,EUR,3.727800,3.734500,2017-01-04 16:00:00+00
2017-01-04,USD,3.573700,3.580200,2017-01-04 16:00:00+00
2017-01-05,EUR,3.729100,3.735800,2017-01-05 16:00:00+00
2017-01-05,USD,3.576400,3.582900,2017-01-05 16:00:00+00
2017-01-06,EUR,3.780800,3.787600,2017-01-06 16:00:00+00
2017-01-06,USD,3.593400,3.599900,2017-01-06 16:00:00+00
2017-01-07,EUR,3.780800,3.787600,2017-01-07 16:00:00+00
2017-01-07,USD,3.593400,3.599900,2017-01-07 16:00:00+00
2017-01-08,EUR,3.780800,3.787600,2017-01-08 16:00:00+00
2017-01-08,USD,3.593400,3.599900,2017-01-08 16:00:00+00
2017-01-09,EUR,3.827000,3.833900,2017-01-09 16:00:00+00
2017-01-09,USD,3.613400,3.619900,2017-01-09 16:00:00+00
2017-01-10,EUR,3.898600,3.905700,2017-01-10 16:00:00+00
2017-01-10,USD,3.702000,3.708700,2017-01-10 16:00:00+00
2017-01-11,EUR,3.985200,3.992400,2017-01-11 16:00:00+00
2017-01-11,USD,3.762000,3.768800,2017-01-11 16:00:00+00
2017-01-12,EUR,4.059100,4.066500,2017-01-12 16:00:00+00
2017-01-12,USD,3.850100,3.857100,2017-01-12 16:00:00+00
2017-01-13,EUR,4.089000,4.096300,2017-01-13 16:00:00+00
2017-01-13,USD,3.843000,3.849900,2017-01-13 16:00:00+00
2017-01-14,EUR,4.089000,4.096300,2017-01-14 16:00:00+00
