id,kiraci_id,mulk_id,kira_tutari,kira_para_birimi,baslangic_tarihi,bitis_tarihi,stopaj_takibi,olusturma_tarihi,guncelleme_tarihi
10d573a2-4792-4121-bcd9-de721d9f0ee5,3a91be83-df71-4fa8-87a4-cf27e74b5722,8284e62b-0383-4d54-85ea-deef3cf7bb5e,22000,TRY,2017-10-15,2019-10-14,false,2026-03-20 21:38:06.054719+00,2026-03-20 21:38:36.281175+00
1787a1da-6f47-434b-9e73-f8acbc2cf29e,fdf8b982-e92e-4b8f-8e92-26ffc57b8f9d,8284e62b-0383-4d54-85ea-deef3cf7bb5e,3400,USD,2024-10-31,2025-10-30,false,2026-03-22 12:50:07.074529+00,2026-03-22 12:50:30.68008+00
198c9256-c9a2-4887-bf9d-3200ce10a96d,fd3a263d-d3e2-4cd1-9824-7c1526f44aab,8284e62b-0383-4d54-85ea-deef3cf7bb5e,38000,TRY,2021-08-01,2021-09-30,false,2026-03-22 11:06:05.494158+00,2026-03-22 11:06:05.494158+00
1f1eedf3-80b4-4955-b9eb-138f40c12bbe,3a91be83-df71-4fa8-87a4-cf27e74b5722,8284e62b-0383-4d54-85ea-deef3cf7bb5e,24200,TRY,2019-10-15,2020-10-14,false,2026-03-20 21:38:36.430298+00,2026-03-20 21:39:21.798949+00
2c96b651-b468-43a7-8f35-b67ea0b6c6a7,561bed07-c925-42c0-ad97-8309e438943c,e780326a-3bf9-44f3-aacc-018e8909d2d3,27000,TRY,2022-10-20,2023-10-19,false,2026-03-24 06:55:23.821491+00,2026-03-24 06:55:23.821491+00
2d54708b-ca7b-4e02-b295-7fb62eca911d,561bed07-c925-42c0-ad97-8309e438943c,e780326a-3bf9-44f3-aacc-018e8909d2d3,1650,USD,2024-10-20,2025-10-19,false,2026-03-24 06:57:32.982841+00,2026-03-24 06:57:32.982841+00
4bdeb70c-09d6-4873-86bd-f15e4f1bcd1a,569e0d9f-cefb-42e6-8985-4c0bc4ca5e90,08427f5f-dfec-45f2-92a2-832be42ffddf,153478,TRY,2024-05-01,2025-04-30,false,2026-03-19 19:57:53.254475+00,2026-03-19 19:58:06.623658+00
524d78ee-b8b9-4a1e-a2fe-c90aa2b58a9a,569e0d9f-cefb-42e6-8985-4c0bc4ca5e90,08427f5f-dfec-45f2-92a2-832be42ffddf,39000,TRY,2020-05-01,2021-06-30,false,2026-03-19 19:56:28.295194+00,2026-03-19 19:57:05.986396+00
529611c2-4862-4d2b-b79d-703b3756d8b3,569e0d9f-cefb-42e6-8985-4c0bc4ca5e90,08427f5f-dfec-45f2-92a2-832be42ffddf,35910,TRY,2019-06-01,2020-04-30,false,2026-03-19 19:56:00.101706+00,2026-03-19 19:56:28.188491+00
52d5b225-62c8-4977-8999-b1147404bc51,fdf8b982-e92e-4b8f-8e92-26ffc57b8f9d,8284e62b-0383-4d54-85ea-deef3cf7bb5e,3740,USD,2025-10-31,,false,2026-03-22 12:50:30.794132+00,2026-03-22 12:50:30.794132+00
531d1c4e-d528-43c6-8bef-ccbc142d49ec,569e0d9f-cefb-42e6-8985-4c0bc4ca5e90,08427f5f-dfec-45f2-92a2-832be42ffddf,29000,TRY,2017-05-01,2018-04-30,false,2026-03-19 07:54:18.380828+00,2026-03-20 20:59:21.737348+00
